city,lat,lon,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,hour,day,month,day_of_week,aqi_lag_1,aqi_lag_3,aqi_lag_24,aqi_rolling_mean_6,aqi_change_rate,temperature,humidity,pressure,wind_speed,wind_deg,cloudiness,rain_1h
Karachi,24.8607,67.0011,2024-08-31 22:00:00+00:00,58.0,270.37,0.01,5.31,25.03,6.2,15.45,22.39,1.12,22,31,8,5,59.7,63.8,70.5,62.06666666666667,-0.028475711892797365,,,,,,,
Karachi,24.8607,67.0011,2024-08-31 23:00:00+00:00,56.5,267.03,0.01,5.14,25.39,6.56,14.73,21.12,1.11,23,31,8,5,58.0,61.2,67.7,60.73333333333334,-0.02586206896551724,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 00:00:00+00:00,54.6,267.03,0.01,5.48,24.32,7.33,13.82,19.27,1.16,0,1,9,6,56.5,59.7,67.3,58.96666666666667,-0.03362831858407077,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 01:00:00+00:00,53.5,287.06,0.02,6.77,22.53,8.94,13.31,18.5,1.49,1,1,9,6,54.6,58.0,64.4,57.25,-0.020146520146520172,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 02:00:00+00:00,53.3,310.42,0.08,8.23,20.21,10.01,13.21,18.95,1.84,2,1,9,6,53.5,56.5,56.4,55.93333333333333,-0.003738317757009399,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 03:00:00+00:00,55.8,407.22,1.52,11.14,17.17,10.13,14.4,21.44,2.75,3,1,9,6,53.3,54.6,44.8,55.28333333333333,0.04690431519699813,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 04:00:00+00:00,58.0,520.71,5.14,12.68,17.52,10.25,15.44,24.74,3.48,4,1,9,6,55.8,53.5,37.8,55.28333333333333,0.03942652329749109,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 05:00:00+00:00,58.5,540.73,6.2,12.51,23.6,10.49,15.69,26.01,3.58,5,1,9,6,58.0,53.3,38.5,55.61666666666667,0.008620689655172414,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 06:00:00+00:00,59.5,500.68,4.64,11.14,35.76,10.37,16.12,26.62,3.45,6,1,9,6,58.5,55.8,41.8,56.43333333333334,0.017094017094017096,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 07:00:00+00:00,60.4,467.3,3.46,9.85,47.21,8.46,16.58,27.11,3.07,7,1,9,6,59.5,58.0,46.2,57.583333333333336,0.015126050420168043,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 08:00:00+00:00,62.0,480.65,3.46,9.94,50.78,6.56,17.31,28.49,2.91,8,1,9,6,60.4,58.5,46.9,59.03333333333333,0.026490066225165587,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 09:00:00+00:00,63.4,494.0,4.25,10.71,47.21,5.25,18.0,31.52,2.79,9,1,9,6,62.0,59.5,46.8,60.300000000000004,0.0225806451612903,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 10:00:00+00:00,64.2,500.68,5.25,11.48,41.13,4.71,18.37,36.05,2.69,10,1,9,6,63.4,60.4,47.7,61.333333333333336,0.012618296529968522,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 11:00:00+00:00,62.7,460.62,5.42,10.71,35.05,4.59,17.68,37.84,2.34,11,1,9,6,64.2,62.0,51.2,62.03333333333333,-0.02336448598130841,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 12:00:00+00:00,59.8,433.92,5.25,10.37,28.25,4.17,16.27,35.88,1.99,12,1,9,6,62.7,63.4,52.7,62.083333333333336,-0.04625199362041476,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 13:00:00+00:00,58.2,467.3,5.14,14.22,18.42,4.17,15.52,33.93,1.96,13,1,9,6,59.8,64.2,54.5,61.71666666666667,-0.02675585284280927,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 14:00:00+00:00,58.7,494.0,2.79,20.39,7.06,4.41,15.78,33.23,2.15,14,1,9,6,58.2,62.7,56.5,61.166666666666664,0.008591065292096219,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 15:00:00+00:00,60.3,467.3,1.72,19.19,5.5,4.53,16.5,33.6,2.5,15,1,9,6,58.7,59.8,59.3,60.65,0.027257240204429205,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 16:00:00+00:00,62.1,453.95,1.15,17.99,6.79,5.19,17.39,34.92,3.04,16,1,9,6,60.3,58.2,62.8,60.300000000000004,0.02985074626865679,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 17:00:00+00:00,61.8,410.56,0.59,15.42,9.12,5.3,17.24,34.76,2.98,17,1,9,6,62.1,58.7,64.5,60.150000000000006,-0.0048309178743962036,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 18:00:00+00:00,61.1,370.5,0.31,12.85,11.8,5.07,16.89,33.81,2.72,18,1,9,6,61.8,60.3,65.2,60.36666666666667,-0.01132686084142388,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 19:00:00+00:00,58.7,337.12,0.16,10.11,15.2,4.11,15.74,31.31,2.03,19,1,9,6,61.1,62.1,63.8,60.45000000000001,-0.03927986906710309,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 20:00:00+00:00,56.8,313.76,0.09,8.83,17.52,3.87,14.84,29.63,1.44,20,1,9,6,58.7,61.8,61.2,60.133333333333326,-0.03236797274275989,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 21:00:00+00:00,57.4,320.43,0.06,9.17,18.24,5.3,15.13,30.26,1.71,21,1,9,6,56.8,61.1,59.7,59.650000000000006,0.010563380281690167,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 22:00:00+00:00,62.6,417.23,0.17,13.37,14.48,6.74,17.62,33.8,3.17,22,1,9,6,57.4,58.7,58.0,59.73333333333333,0.09059233449477357,,,,,,,
Karachi,24.8607,67.0011,2024-09-01 23:00:00+00:00,72.8,567.44,0.51,19.19,8.23,7.99,22.46,40.09,5.07,23,1,9,6,62.6,56.8,56.5,61.56666666666666,0.16293929712460056,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 00:00:00+00:00,85.6,734.33,2.07,23.65,2.79,9.78,28.53,47.09,6.78,0,2,9,0,72.8,57.4,54.6,65.64999999999999,0.17582417582417578,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 01:00:00+00:00,116.1,1134.87,13.08,26.05,0.06,13.95,41.62,61.01,10.01,1,2,9,0,85.6,62.6,53.5,75.21666666666665,0.35630841121495327,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 02:00:00+00:00,154.1,1762.39,34.87,26.73,0.09,19.55,61.6,81.43,14.57,2,2,9,0,116.1,72.8,53.3,91.43333333333334,0.32730404823428083,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 03:00:00+00:00,172.2,3070.83,80.47,30.85,1.61,27.42,96.63,120.83,24.32,3,2,9,0,154.1,85.6,55.8,110.56666666666666,0.11745619727449705,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 04:00:00+00:00,195.8,5020.14,146.63,52.78,4.38,37.67,142.34,173.95,35.46,4,2,9,0,172.2,116.1,58.0,132.76666666666665,0.13704994192799086,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 05:00:00+00:00,215.9,5821.23,144.84,102.82,12.52,41.01,165.55,202.58,36.48,5,2,9,0,195.8,154.1,58.5,156.61666666666667,0.102655771195097,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 06:00:00+00:00,199.9,4325.87,63.48,134.35,47.92,34.81,150.16,185.86,24.83,6,2,9,0,215.9,172.2,59.5,175.66666666666666,-0.07410838351088467,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 07:00:00+00:00,154.8,1468.66,10.28,50.04,104.43,17.64,62.84,93.5,10.13,7,2,9,0,199.9,195.8,60.4,182.11666666666667,-0.22561280640320155,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 08:00:00+00:00,135.5,1041.41,5.92,33.59,124.45,10.97,49.52,81.61,8.04,8,2,9,0,154.8,215.9,62.0,179.01666666666668,-0.12467700258397939,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 09:00:00+00:00,110.2,988.01,7.26,32.56,103.0,8.34,39.23,69.34,7.28,9,2,9,0,135.5,199.9,63.4,168.68333333333334,-0.18671586715867156,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 10:00:00+00:00,82.5,867.84,9.61,27.08,63.66,6.2,27.06,49.78,5.89,10,2,9,0,110.2,154.8,64.2,149.8,-0.25136116152450094,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 11:00:00+00:00,64.5,700.95,9.5,19.19,40.05,4.83,18.54,34.69,4.12,11,2,9,0,82.5,135.5,62.7,124.56666666666668,-0.21818181818181817,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 12:00:00+00:00,54.7,560.76,7.15,14.05,29.33,4.05,13.88,25.84,2.79,12,2,9,0,64.5,110.2,59.8,100.36666666666667,-0.15193798449612397,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 13:00:00+00:00,48.1,527.38,4.86,14.91,21.64,3.93,11.55,20.77,2.18,13,2,9,0,54.7,82.5,58.2,82.58333333333334,-0.12065813528336382,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 14:00:00+00:00,47.5,567.44,2.15,21.76,10.1,4.23,11.4,19.85,2.47,14,2,9,0,48.1,64.5,58.7,67.91666666666667,-0.012474012474012502,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 15:00:00+00:00,49.4,540.73,0.95,20.91,9.48,4.59,11.86,20.49,2.94,15,2,9,0,47.5,54.7,60.3,57.78333333333333,0.03999999999999997,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 16:00:00+00:00,64.0,814.44,6.43,26.73,2.5,6.14,18.28,30.56,6.14,16,2,9,0,49.4,48.1,62.1,54.699999999999996,0.29554655870445345,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 17:00:00+00:00,79.9,1054.76,15.2,26.05,0.09,7.33,25.84,42.03,8.99,17,2,9,0,64.0,47.5,61.8,57.26666666666667,0.2484375000000001,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 18:00:00+00:00,91.6,1174.93,19.22,24.68,0.03,8.11,31.42,49.62,10.51,18,2,9,0,79.9,49.4,61.1,63.416666666666664,0.14643304130162688,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 19:00:00+00:00,90.1,1148.22,19.45,23.65,0.03,7.63,30.67,48.28,9.5,19,2,9,0,91.6,64.0,58.7,70.41666666666667,-0.016375545851528384,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 20:00:00+00:00,76.8,961.3,14.98,22.96,0.08,6.32,24.39,38.8,6.33,20,2,9,0,90.1,79.9,56.8,75.3,-0.1476137624861265,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 21:00:00+00:00,69.5,767.71,8.38,22.28,0.39,5.72,20.89,32.97,4.75,21,2,9,0,76.8,91.6,57.4,78.64999999999999,-0.0950520833333333,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 22:00:00+00:00,64.2,587.46,2.24,19.71,3.26,5.25,18.38,28.55,4.12,22,2,9,0,69.5,90.1,62.6,78.68333333333334,-0.07625899280575535,,,,,,,
Karachi,24.8607,67.0011,2024-09-02 23:00:00+00:00,61.5,500.68,0.29,16.11,10.55,5.3,17.09,26.05,4.18,23,2,9,0,64.2,76.8,72.8,75.61666666666667,-0.04205607476635518,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 00:00:00+00:00,61.3,500.68,0.09,14.57,16.09,5.9,17.02,25.65,4.62,0,3,9,1,61.5,69.5,85.6,70.56666666666666,-0.0032520325203252497,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 01:00:00+00:00,64.0,567.44,0.15,17.14,14.66,7.33,18.28,27.07,5.57,1,3,9,1,61.3,64.2,116.1,66.21666666666665,0.04404567699836873,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 02:00:00+00:00,67.4,680.92,0.88,22.96,9.03,8.58,19.88,29.02,6.71,2,3,9,1,64.0,61.5,154.1,64.65,0.05312500000000009,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 03:00:00+00:00,75.1,961.3,10.28,26.73,6.71,10.49,23.58,33.89,9.12,3,3,9,1,67.4,61.3,172.2,65.58333333333333,0.11424332344213632,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 04:00:00+00:00,66.0,934.6,13.41,25.02,15.38,11.44,19.21,28.27,7.54,4,3,9,1,75.1,64.0,195.8,65.88333333333333,-0.12117177097203721,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 05:00:00+00:00,60.9,854.49,11.51,23.31,28.97,10.25,16.8,25.49,6.4,5,3,9,1,66.0,67.4,215.9,65.78333333333333,-0.0772727272727273,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 06:00:00+00:00,57.7,674.25,6.37,18.16,53.64,8.46,15.29,24.09,5.19,6,3,9,1,60.9,75.1,199.9,65.18333333333334,-0.052545155993431784,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 07:00:00+00:00,61.0,674.25,5.09,17.82,70.81,6.97,16.84,27.56,5.07,7,3,9,1,57.7,66.0,154.8,64.68333333333334,0.0571923743500866,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 08:00:00+00:00,69.2,827.79,7.26,23.99,71.53,6.97,20.74,34.1,6.21,8,3,9,1,61.0,60.9,135.5,64.98333333333333,0.13442622950819677,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 09:00:00+00:00,73.4,961.3,10.62,29.47,60.8,7.03,22.74,37.04,6.9,9,3,9,1,69.2,57.7,110.2,64.7,0.06069364161849715,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 10:00:00+00:00,69.0,907.9,12.18,27.08,46.49,6.14,20.65,33.41,6.08,10,3,9,1,73.4,61.0,82.5,65.2,-0.059945504087193534,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 11:00:00+00:00,61.4,761.03,10.73,21.08,36.12,5.13,17.04,27.74,4.5,11,3,9,1,69.0,69.2,64.5,65.28333333333333,-0.11014492753623191,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 12:00:00+00:00,54.8,607.49,7.6,16.28,30.04,4.41,13.93,23.04,3.07,12,3,9,1,61.4,73.4,54.7,64.8,-0.10749185667752445,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 13:00:00+00:00,500.0,527.38,4.08,16.45,22.53,4.11,12.01,19.84,2.22,13,3,9,1,54.8,69.0,48.1,137.96666666666667,8.124087591240876,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 14:00:00+00:00,51.1,527.38,1.23,20.91,12.34,3.93,12.15,20.07,2.22,14,3,9,1,500.0,61.4,47.5,134.95,-0.8977999999999999,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 15:00:00+00:00,52.1,473.98,0.4,16.96,14.31,3.7,12.64,21.12,2.31,15,3,9,1,51.1,54.8,49.4,131.4,0.019569471624266144,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 16:00:00+00:00,56.4,514.03,0.61,18.51,11.98,4.53,14.69,25.15,3.36,16,3,9,1,52.1,500.0,64.0,129.29999999999998,0.08253358925143948,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 17:00:00+00:00,59.5,547.41,0.83,19.88,9.03,4.95,16.13,28.47,4.18,17,3,9,1,56.4,51.1,79.9,128.98333333333332,0.05496453900709222,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 18:00:00+00:00,59.3,554.08,0.68,19.54,10.1,4.83,16.06,29.38,4.5,18,3,9,1,59.5,52.1,91.6,129.73333333333335,-0.003361344537815174,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 19:00:00+00:00,54.0,507.35,0.37,17.65,13.59,4.17,13.55,26.29,3.61,19,3,9,1,59.3,56.4,90.1,55.4,-0.08937605396290046,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 20:00:00+00:00,42.2,410.56,0.08,13.19,20.56,3.61,10.12,21.1,2.12,20,3,9,1,54.0,59.5,76.8,53.916666666666664,-0.21851851851851847,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 21:00:00+00:00,35.8,340.46,0.01,8.14,27.89,3.7,8.6,18.49,1.6,21,3,9,1,42.2,59.3,69.5,51.199999999999996,-0.15165876777251197,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 22:00:00+00:00,31.4,300.41,0.0,3.94,33.97,3.01,7.53,16.68,1.09,22,3,9,1,35.8,54.0,64.2,47.03333333333333,-0.12290502793296086,,,,,,,
Karachi,24.8607,67.0011,2024-09-03 23:00:00+00:00,31.8,297.07,0.0,3.38,35.05,3.01,7.62,16.88,1.11,23,3,9,1,31.4,42.2,61.5,42.416666666666664,0.012738853503184782,,,,,,,
Karachi,24.8607,67.0011,2024-09-04 00:00:00+00:00,34.0,297.07,0.0,3.6,34.69,3.37,8.15,18.12,1.2,0,4,9,2,31.8,35.8,61.3,38.199999999999996,0.06918238993710689,,,,,,,
